insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (188, 56, 'Descripcion:-VQAANW', 'Comentario:-FGTFWX', 4027.86, '2019-07-02', '2019-08-31', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (145, 83, 'Descripcion:-ICLOOQ', 'Comentario:-WOMFKJ', 12251.64, '2019-04-04', '2019-08-04', '2019-12-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (113, 55, 'Descripcion:-ILWYSG', 'Comentario:-ITCNDH', 12777.67, '2019-07-02', '2019-09-25', '2019-12-23');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (115, 8, 'Descripcion:-CGWVGU', 'Comentario:-JYXGPM', 14495.19, '2019-06-22', '2019-08-25', '2019-12-07');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (64, 21, 'Descripcion:-SCEDRR', 'Comentario:-PEHDEQ', 14833.06, '2019-06-24', '2019-09-28', '2019-12-27');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (149, 53, 'Descripcion:-KGTTVI', 'Comentario:-UQNDKT', 7185.83, '2019-05-24', '2019-09-15', '2019-12-02');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (36, 12, 'Descripcion:-BJUCUG', 'Comentario:-BBHDTA', 12454.75, '2019-04-30', '2019-08-11', '2019-12-18');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (85, 95, 'Descripcion:-YIXYBU', 'Comentario:-LIYQDF', 10908.05, '2019-07-19', '2019-09-02', '2019-12-12');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (34, 15, 'Descripcion:-RMNJOS', 'Comentario:-VZJZKF', 14293.25, '2019-06-18', '2019-08-04', '2019-12-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (70, 19, 'Descripcion:-STDJAE', 'Comentario:-RQZJHM', 3638.81, '2019-07-18', '2019-08-29', '2019-12-19');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (4, 1, 'Descripcion:-EYIGTN', 'Comentario:-QLEXWR', 9363.5, '2019-07-27', '2019-08-28', '2019-11-10');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (25, 19, 'Descripcion:-FDSUFF', 'Comentario:-KVWUEN', 12212.93, '2019-04-09', '2019-09-08', '2019-11-01');
insert into Servicio (VehiculoId, EmpleadoId, SDescripcion, SComentario, SPrecio, SFecha, STerminado, SEntregado) values (165, 80, 'Descripcion:-JRNBXF', 'Comentario:-QVNGEP', 6484.05, '2019-07-04', '2019-08-29', '2019-11-25');
